,filename_prefix,Label,structure,PhysicalSize,Roundness,5-EU_0_Mean,5-EU_0_Skewness,SYTOX_0_Mean,SYTOX_0_Sum
185965,20210416_Timecourse5EU_s5_NA,744,nuclei,2758.0800000000004,0.913473160586562,58.9203431372549,1.6882582450951844,122.94730392156865,200650.0
185966,20210416_Timecourse5EU_s5_NA,745,nuclei,1745.7700000000002,0.9036823085315644,66.71442400774443,2.4713582738399555,97.31171345595354,100523.0
185967,20210416_Timecourse5EU_s5_NA,746,nuclei,1537.9,0.9620990097002003,92.97252747252747,2.6489002657299627,106.5989010989011,97005.0
185968,20210416_Timecourse5EU_s5_NA,747,nuclei,3048.76,0.8882667300300767,73.49279379157429,1.6741777532093391,94.6829268292683,170808.0
185969,20210416_Timecourse5EU_s5_NA,748,nuclei,1128.92,0.949382261519459,91.11826347305389,1.8153209668837744,102.24550898203591,68300.0
185970,20210416_Timecourse5EU_s5_NA,749,nuclei,2734.42,0.911421221569466,52.32262051915946,2.6514264174160447,126.14709517923362,204106.0
185971,20210416_Timecourse5EU_s5_NA,750,nuclei,3146.78,0.9143258212109274,73.62835660580022,2.144149552602962,95.92373791621912,178610.0
185972,20210416_Timecourse5EU_s5_NA,751,nuclei,1117.09,0.949730023328136,88.0998487140696,2.025863811640275,107.54160363086233,71085.0
185973,20210416_Timecourse5EU_s5_NA,752,nuclei,114.92000000000002,0.8635235593212492,98.30882352941175,1.4697960561860488,79.3970588235294,5399.0
185974,20210416_Timecourse5EU_s5_NA,753,nuclei,1537.9,0.938992345762556,52.348351648351645,2.679864610247752,103.00989010989012,93739.0
185975,20210416_Timecourse5EU_s5_NA,754,nuclei,2791.88,0.9065217661642376,94.07506053268766,1.2097503621625627,89.96670702179176,148625.0
185976,20210416_Timecourse5EU_s5_NA,755,nuclei,1428.0500000000002,0.8676353191087777,50.65917159763313,2.1514316203393355,159.8662721893491,135087.0
185977,20210416_Timecourse5EU_s5_NA,756,nuclei,54.080000000000005,0.7316569605603549,43.6875,0.2738585891337989,76.90625,2461.0
185978,20210416_Timecourse5EU_s5_NA,757,nuclei,949.78,0.8889507790553483,81.52669039145907,1.5474252257086265,118.12811387900356,66388.0
185979,20210416_Timecourse5EU_s5_NA,758,nuclei,2210.5200000000004,0.9072364101990918,76.61467889908256,1.610251145932247,154.9915902140673,202729.0
185980,20210416_Timecourse5EU_s5_NA,759,nuclei,1706.9,0.8347341104956079,86.86138613861387,2.319630495206726,79.96930693069307,80769.0
185981,20210416_Timecourse5EU_s5_NA,760,nuclei,2683.7200000000003,0.8912393009553063,65.9955919395466,1.7984379185356605,112.28463476070527,178308.0
185982,20210416_Timecourse5EU_s5_NA,761,nuclei,1319.89,0.765300214745865,85.38924455825864,1.531272127446475,79.18565941101153,61844.0
